,followers,following,accountreputation,CDFx,CDFy
0,103,2,0.980952380952,0.0,0.0
1,790,26,0.968137254902,0.111111111111,0.00328947368421
2,1355,2,0.998526160648,0.117903930131,0.00657894736842
3,30,8,0.789473684211,0.125,0.00986842105263
4,2102,5,0.99762695776,0.126016260163,0.0131578947368
5,172,0,1.0,0.181102362205,0.0164473684211
6,4218,1,0.999762977009,0.21875,0.0197368421053
7,8318,1,0.999879793244,0.256227758007,0.0230263157895
8,269,38,0.876221498371,0.323628691983,0.0263157894737
9,382,97,0.797494780793,0.338912133891,0.0296052631579
10,4217,10,0.997634255974,0.340694006309,0.0328947368421
11,8724,4796,0.645266272189,0.373540856031,0.0361842105263
12,957,40,0.959879638917,0.386765178285,0.0394736842105
13,436,575,0.431256181998,0.387823185988,0.0427631578947
14,556,6,0.989323843416,0.388004246285,0.0460526315789
15,503,486,0.508594539939,0.403159082362,0.0493421052632
16,772,908,0.459523809524,0.412964311726,0.0526315789474
17,73,0,1.0,0.413031771675,0.0559210526316
18,1777,1,0.999437570304,0.413169786959,0.0592105263158
19,5035,42,0.99172739807,0.417125900805,0.0625
20,1280,1818,0.413169786959,0.41873015873,0.0657894736842
21,249,100,0.713467048711,0.421189752497,0.0690789473684
22,655,866,0.43063773833,0.423493044822,0.0723684210526
23,821,1,0.998783454988,0.424460431655,0.0756578947368
24,3613,3,0.999170353982,0.427658338175,0.0789473684211
25,304,14,0.955974842767,0.429886871876,0.0822368421053
26,0,0,0.0,0.43063773833,0.0855263157895
27,1740,0,1.0,0.431256181998,0.0888157894737
28,84,0,1.0,0.432561307902,0.0921052631579
29,8,0,1.0,0.435666593979,0.0953947368421
30,19,3,0.863636363636,0.441011235955,0.0986842105263
31,20,160,0.111111111111,0.444384156267,0.101973684211
32,1697,0,1.0,0.444800732936,0.105263157895
33,1240,84,0.936555891239,0.446546052632,0.108552631579
34,34528,67,0.998063303946,0.459523809524,0.111842105263
35,70,250,0.21875,0.466438648995,0.115131578947
36,193,5,0.974747474747,0.466579292267,0.118421052632
37,1058,12,0.988785046729,0.467098483733,0.121710526316
38,3108,3524,0.468636911942,0.468636911942,0.125
39,3826,5,0.998694857739,0.469387755102,0.128289473684
40,121,112,0.519313304721,0.469583439167,0.131578947368
41,36,6,0.857142857143,0.469589115156,0.134868421053
42,150,43,0.777202072539,0.471778487753,0.138157894737
43,114,6,0.95,0.473988439306,0.141447368421
44,8647,8343,0.508946439082,0.476923076923,0.144736842105
45,586,17,0.971807628524,0.477844311377,0.148026315789
46,1909,8,0.995826812728,0.479787234043,0.151315789474
47,1401,1,0.999286733238,0.483510011779,0.154605263158
48,39,10,0.795918367347,0.489345215033,0.157894736842
49,165,31,0.841836734694,0.489942763696,0.161184210526
50,324,632,0.338912133891,0.49005812175,0.164473684211
51,27584,160,0.994232987313,0.492134242265,0.167763157895
52,131,1,0.992424242424,0.494479953515,0.171052631579
53,2036,105,0.950957496497,0.494485294118,0.174342105263
54,8238,102,0.987769784173,0.495932678822,0.177631578947
55,4401,4297,0.505978385836,0.496710526316,0.180921052632
56,56,5,0.918032786885,0.496759650606,0.184210526316
57,103,24,0.811023622047,0.498657460683,0.1875
58,12,8,0.6,0.502202643172,0.190789473684
59,673,1,0.998516320475,0.503174603175,0.194078947368
60,1579,4,0.997473152243,0.505901505902,0.197368421053
61,344,156,0.688,0.505978385836,0.200657894737
62,3091,2,0.999353378597,0.507874015748,0.203947368421
63,75169,0,1.0,0.508104738155,0.207236842105
64,602,41,0.936236391913,0.508368200837,0.210526315789
65,1643,34,0.979725700656,0.508389261745,0.213815789474
66,1681,990,0.629352302508,0.508594539939,0.217105263158
67,6408,6668,0.49005812175,0.508946439082,0.220394736842
68,438,10,0.977678571429,0.510204081633,0.223684210526
69,23,1,0.958333333333,0.510638297872,0.226973684211
70,6,0,1.0,0.513443899987,0.230263157895
71,27,202,0.117903930131,0.513477088949,0.233552631579
72,96,161,0.373540856031,0.515128006206,0.236842105263
73,137,0,1.0,0.516008316008,0.240131578947
74,71,24,0.747368421053,0.517562794349,0.243421052632
75,103,50,0.673202614379,0.518137730359,0.246710526316
76,2324,250,0.902874902875,0.519313304721,0.25
77,178,88,0.669172932331,0.522747546833,0.253289473684
78,76,1,0.987012987013,0.524597808347,0.256578947368
79,123,1,0.991935483871,0.527827648115,0.259868421053
80,269,275,0.494485294118,0.529965156794,0.263157894737
81,971,1212,0.444800732936,0.536290322581,0.266447368421
82,82,91,0.473988439306,0.536585365854,0.269736842105
83,5867,1,0.999829584185,0.538461538462,0.273026315789
84,125,120,0.510204081633,0.539634146341,0.276315789474
85,129,125,0.507874015748,0.547550432277,0.279605263158
86,103,45,0.695945945946,0.574660633484,0.282894736842
87,243,235,0.508368200837,0.57684180194,0.286184210526
88,5275,4917,0.517562794349,0.576923076923,0.289473684211
89,279,0,1.0,0.578947368421,0.292763157895
90,15,0,1.0,0.584981900833,0.296052631579
